id,date,month,description,name,location,phase,type,html,date_night,month_night,is_night,priority,important,old_name,processed
36,13,2,Moulai Adam Bin Moulaya Suleman bin Masood (Q.S.),Urs Maulai Adam bin Sulaimanji AQ,Ahmedabad,DAY,URS,"<ul><li>Moulai Adam bin Suleiman (a.q.) ni shaan ghani azeem chhe. Ta'at ane Dawat ni khidmat ma aap be-misaal chhe.</li><li>15ma Dai Syedna Abbas (r.a.) si 19ma Dai Syedna Idris (r.a.) tak 5 Doat ni khidmat kidi.</li><li>Patan [Gujarat] ma Vaalii-e-Hind Maulai Ali (a.q.) pase si ilm hasil kidu. Aap Patan [Neharwali] ma muqeem [ resident ] tha.</li><li>810 H. ma Sultan Ahmedshah ye jivare Ahmedabad shahar vasayu, tivare Maulai Ali (a.q.) ne Patan si Mumineen ne vahan vasavva vaste arz kidi. Maulai Ali (a.q.) ye Maulai Adam (a.q.),1, ane te baad Maulai Adam Saheb (a.q.) Hind ane Sind na vaali thaya.</li><li>Aap no zaman ajab saadat no zaman tho. Ahmedabad ma mumineen ""Bohra"" na naam si mashhoor tha. Masjido abaad hati, specially, Idd-e-Gadire Khum Ahmedabad ma ghani shaan si manavta. Atraaf na bilad si Mumineen hajar thata.</li><li>""Sakka""[Pani pilavnar servant] no vaqeo [incident] aap na zaman ma bano chhe. Yemen ma Mumineen ma imaan ni susti dekhi, Syedna Idris (r.a) ye Hind na Mumineen na imtehan vaste Sakka par umur ni raza mokli. Maulai Adam (a.q.) Hind na vaali tha, magar ta'at ni be-misaal farmani batavi, Sakka na pachhal namaz parhi.</li><li>Aap nu laqab ""Shujauddin"" thu. Aap ni umr 80 varas ni hati, magar aap na laqab muaafiq zaifee [old age] ma bhi aap himmat ni misal [example] tha.</li><li>Syedna Idris (r.a.) na Zaman ma, 13 Safarul Muzaffar 833 H. aap wafat thaya. Huzure Aala (tus), aap ni qabr par sajdo dai ne ziyarat kare chhe.</li><li>Aap na Qubba ni bahar Maulai Khwaja Kalan (a.q.) ni qabr ek chhatri ma chhe.</li></ul>",12,2,True,,False,Urus Mawlai Adam bin Sulaimanji,
37,14,2,,Urs Kaka Akela - Kaki Akela,Khambhat,DAY,URS,"<p><br></p><ul><li>Maulana Imam Mustansir (a.s.) na Zaman [427-467 H.] ma aap ni raza mubarak si Hindustan ni taraf Dawat na elaam rafe thaya. Imam Mustansir (r.a.) ye Maulai Abdullah (r.a.), Maulai Ahmedshah (r.a.) ane Maulai Nooruddin (r.a.) aap teen sahebo ne Khambat mokla. Khambat si 7 Km duur Kavadra gam ni pase Sakarpur gam ma Kunbi Jaat na Kaka Akela na khet ma aap teene Sahebo utra. Khet ekdam sukai gaya hata,1, Maulai Abdulla (r.a.) ye kuva ma ek bhalo maro. Khuda na fazal si ane Imam-uz-Zaman ni raza ane doa mubarak si kuva ma mitha pani no chashmo jari thayo.</li><li>Kaka Akela ane Kaki Akela beve Iman laya. Saathe bija ghana Iman taraf aaya.</li><li>Kaka Akela ane Kaki Akela ni turbat par ghana nafees qubba chhe. Aas pas haal sahan ane garden ni tameer thai gai chhe.</li><li>Kuva na pani ma shifa chhe, ane zaereen teno faydo le chhe.</li><li>Aap no urs 14 Safar manavay chhe.</li></ul>",13,2,True,,False,,
38,14,2,Selavi ,Urs Maulai Nooh Saheb AQ,Selavi,DAY,URS,<ul><li>Near Dhinoj and Denmal</li></ul>,13,3,True,,False,Urs Maulai Nooh Saheb AQ,
39,15,2,,Urs Syedi Saleh bhaisaheb Safiyuddin,Mumbai,DAY,URS,<p>N/A</p>,14,3,True,,False,Urs Syedi Saleh bhaisaheb Safiyuddin,
40,17,2,Ahmedabad,Urs Maulai Shaikh Saheb bin Sulaimanji AQ,Ahmedabad,DAY,URS,"<ul><li>Vali-e-Hind na Moulai Sheikh Saheb muaveen [assistant] tha.</li><li>Jafar ni fitnat na waqt aap na saghla bhaiyo iman si firi gaya, ane apna vali ne muki dida. Teva waqt ma aap akela saabut rahya. Dushmano ye aap ne shaheed kida.</li><li>Syedi Khoj bin Malek Saheb (a.q.) aap na risala ma likhe chhe ke,1, je haal Sunnio na qabza ma chhe. Kalupur mohalla na area na ghana mumineen roj ziyarat kare chhe.</li><li>Syedna Abdullah Badruddin (r.a.) na Zaman ma, aap ni shaan ma, Shaikh Khanbhai Afsar ek nazam ma likhe chhe:</li></ul><p><br></p><ul><li>Karishma aap ka mashhoor, Khaso aam mein hai beshak,</li><li>Kisi aurat ko hota hai,Kalak jab meh ki shiddat ka,</li><li>to dho kar Roze ki janzeer, Use paani pilate hai,</li><li>Vahi ho jata hai sar marhala uski viladat ka.</li><li>[Meaning...aap na mojeza mashhoor chhe. when delivery pain starts for a pregnant woman, the water dipped in the janzeer [chain] at the mazar results into a painless delivery.]</li><li>Moulai shaikh saheb na mazar haal navesar si banaya chhe. darvaza rt side na haal bana chhe.</li></ul><p><br></p>",16,2,True,,False,Urs Maulai Shaikh Saheb bin Sulaimanji AQ,
41,17,2,,Urs Syedi Shaikhfir bin Dawood Shaheed,Ranpur,DAY,URS,<p>N/A</p>,16,3,True,,False,Urs Syedi Shaikhfir bin Dawood Shaheed,
42,17,2,,Urs Shaikh Abdullah Saheb Shaheed AQ,Chechat,DAY,URS,<p>N/A</p>,16,3,True,,False,,
43,20,2,"2nd Imam, Karbala, Iraq.",Chehlum Imam Husain SA,Karbala,DAY,OTHER,,,,False,,True,Chehlum Imam Husain SA,True
44,22,2,8th al-Dai al-Mutlaq,"Urs Mubarak, Syedna Husain bin Syedna Ali RA","Lahab, Yemen",DAY,URS,1," kadavar ane qadkama wala hata.</li><li class=""""ql-align-justify"""">Raat din aap ilm nashar karta. Aap ye Haqaeq na ilm ma """"Risalatul Vahidah"""""," """"Risalatul Aqeedatul Mavhedeen""""","&nbsp;""""Kitabul Aydah val Bayan"""""," ni misal na saat aali kitab tasneef farmaya chhe.&nbsp;</li><li class=""""ql-align-justify"""">Aap na zaman ma Baghdad ma Banu Abbas ni sultanate khatam thai.</li><li class=""""ql-align-justify"""">651 H. ma ap na Mazoon ane Manoos"," Syedi Ahmed bin Syedna Ali bin Hanzala a.q. vafat thaya.</li><li class=""""ql-align-justify"""">Siyasi fasad na sabab aap Sana'a padhara.</li><li class=""""ql-align-justify"""">Aap na vafat na najdeek Suraj ane chand ne gharan&nbsp;thayu chhe. Aap ni umr 40 varas ni hati. Aap ni qabr Sana'a ma chhe"," magar jaga maaruf nathi.&nbsp;</li></ul>""",21,1,True,,False,Urs Syedna Yahya bin Syedna Lamak RA,True
45,27,2,23rd al-Dai al-Mutlaq,"Urs Mubarak, Syedna Mohammed Ezzuddin RA",Yemen,DAY,URS,"<ul><li class=""ql-align-justify"">Aap Banu Valid na 17ma Dai,1, ane Dawat na rutba haasil kida.</li><li class=""ql-align-justify"">Aa char saheb hata:</li></ul><p class=""ql-align-justify"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Syedna Yusuf Najmuddin (r.a.)</p><p class=""ql-align-justify"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Syedna Jalal Shamsuddin (r.a.)</p><p class=""ql-align-justify"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Syedna Dawood bin Ajabshah (r.a.),</p><p class=""ql-align-justify"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Syedna Dawood bin Qutubshah (r.a.)</p><ul><li class=""ql-align-justify"">Je waqt aap ye Hajj no irado farmayo ane Zabeed tashreef laya, to Sarfuddin Zaidi ye aap ne piva na paani ma zehar pohnchayu. Aap ye paani chakhu, ne ehsas thai gayo ke paani ma zehar milava ma aayu chhe. Aap fauran Zabeed&nbsp;vapis vali gaya, ane Zabeed maj vafat thaya.</li><li class=""ql-align-justify"">Aap ye Hind taraf Syedna Yusuf Najmuddin (r.a.) ni taraf nas mokli.</li><li class=""ql-align-justify"">Rasulullah s.a. ye je Hind ni taraf je doa kidi hati, te aap ye Miyan Malek bin Firoz ne sunavi hati, ke Hind na logo mara bhaio chhe, je aakhari zaman ma aavse, ane andhara ma Dawat ne baqi rakh se.</li><li class=""ql-align-justify"">Aap ni qabr Zabeed ma chhe.</li></ul>",26,2,True,,False,Urus Syedna Mohammed Izziuddin (AQ),True
46,28,2,"1st Imam, Medina, Saudi Arabia.",Shahadat Imam Hasan SA,Madina,DAY,SHAHADAT,,27,2,True,,True,Shahadat Imam Hasan SA,True
47,29,2,,Urs Syedi Hasan Zakiyuddin,Surat,DAY,URS,<p>N/A</p>,28,3,True,,False,,
48,1,3,,Urs Syedi Shaikh Adam Safiyuddin bin Syedna Abduttaiyeb Zakiyuddin AQ,Jamnagar,DAY,URS,<p>N/A</p>,29,3,True,,False,,
49,1,3,,Urus Syedi Jamaluddin bin Shaikh Adam,Ahmedabad,DAY,URS,<p>N/A</p>,29,3,True,,False,,True
50,2,3,29th al-Dai al-Mutlaq,"Urs Mubarak, Syedna Abduttaiyeb Zakiyuddin bin Syedna Dawood bin Qutub Shah RA",Ahmedabad,DAY,URS,"<ul><li class=""ql-align-center""><br></li><li>Syedna Abdul Taiyeb Zakiuddin&nbsp;r.a. ni viladat 18 Safarul Muzaffar 972 H. ma thai. Aap na valeda Rani Aaisaheb binte Ali bin Jivabhai chhe.</li><li>26ma Dai,1, te waqt aap, Syedna Zakiuddin saheb r.a. aap ni khidmat ma rahya.</li><li>Aap nu bolva nu ghanu mithu hatu. Aksar Haakim ne milta, ane Dawat vaste khair khwahi karta.</li><li>Syedna Dawood bin Qutubshah r.a. jivare Lahore padhara, tivare aap Ahmedabad ma thehra, ane Moulai Ameenji bin Jalal ne yaari aapta rahya..</li><li>Aap na zaman ma Aliya Firqa ni shuruaat thai.[1627 A.D.]&nbsp;</li><li>Aap ye Dail Ajal Syedna Ali Shamsuddin r.a. bin Syedi Hasan bin Idris r.a. par nas kidi. Syedna Ali Yemen ma tashreef rakhta hata, ane vahan muqim rahya.</li><li>Syedna Zakiuddin 2 Rabiul Awwal 1041 H. Ahmedabad ma vafat thaya. Aap ni umr 69 varas ni hati.</li><li>Aap na nava Qubbat, Al Hayyul Muqaddas Syedna Mohammed Burhanuddin Aqa (RA)&nbsp;ye 1417 H. ma fari si tameer farmaya.</li></ul>",1,3,True,,False,"Urs Mubarak, 29th al-Dai al-Mutlaq Syedna Abduttaiyeb Zakiyuddin bin Syedna Dawood bin Qutub Shah RA",True
51,4,3,,Urs Syedi Habibullah bin Mulla Adamji Bin Syedi Bawa Mulla Khan Saheb AQ,Ujjain,DAY,URS,"<ul><li>Dail Ajal Syedna Qutbuddin Shaheed r.a. si Dail Ajal Syedna Abdeali Saifuddin Saheb r.a. tak ilm ni nehar pohnchavva ma je Hudud Kiram hata, te ma si&nbsp;Moulai Habibullah,1,3,2,True,,False,,True
52,7,3,"",Urs Syedi Shaikh Dawood bhai Mulla Mehmoodji""",Udaipur,DAY,URS,<p>N/A</p>,6,3,True,,False,,True
53,7,3,,Urs Syedi Abdeali Mohiyuddin bin Syedna Abdulhusain Husamuddin AQ,Surat,DAY,URS,"<ul><li>Syedi Abdeali Mohyuddin&nbsp;a.q. Syedna Husamuddin r.a. na Shahzada ane Dail Ajal, Syedna Abdullah Badruddin r.a. na shafeeq biradar chhe.</li><li>47ma Dai si 50ma Dai tak char Doat ni khidmat kidi.</li><li>Ilm ma aap no maqam azeem chhe. Arabic zaban ma aap na Marasiyah,1, Dail Ajal, Syedna Abdulqadar Najmuddin r.a. si app ye ilm hasil kidu. 51ma Dai, Dail Ajal Syedna Taher Saifuddin r.a.&nbsp;</li><li>na aap mufeed [ustad] tha.</li><li>Syedna A.Q. Najmuddin r.a. ni Mundra ni safar ma jivare safinu dariya ma garaq thava si bachi gayu, te waqt aap Dai na saath tha.</li><li>Salamati ni masarrat [khushi] na aa mauqa par Syedna ye aap ne Hudud na&nbsp;martaba&nbsp;ma buland kida.</li><li>Aap 7 Rabiul Awwal 1326 H. Surat ma vafat thaya. Aap ni qabr qubbat Izziyah ma chhe.</li></ul>",6,3,True,,False,,True
54,10,3,50th al-Dai al-Mutlaq,"Urs Mubarak, Syedna Abdullah Badruddin RA",Jamnagar,DAY,URS,"<ul><li>Syedna Abdullah Badruddin r.a.&nbsp;ni viladat 18 Rajabul Asab 1262H,1, Syedna Husamuddin r.a. ane Syedna Mohammed Burhanuddin r.a. em teen Doat ni khidmat kidi.</li><li>Syedi Abdeali Mohyuddin a.q. aap na biradar chhe.</li><li>49ma Dai, Syedna Mohammed Burhanuddin r.a. na Zaman ma Dawat nu den [debt] adaa karva vaste aap ye ghani&nbsp;janfesani kidi hati, vahan tak&nbsp;ke aap ne jamvani bhi fikar nohti..</li><li>1324H. ma Asharah Mubarakah ma aap ye pehlij waqt Waez farmavi.</li><li>Aap ye ghana bilad ma safar kidi hati. Aap na zaman ma ghani Masjid tameer thai.</li><li>Aap ni umr 71 varas ni hati. 28 Safrul Muzafaar, 1333H. aap ye Dail Ajal, Syedna Taher Saifuddin r.a. par nas farmavi, ane kahyu ke Bhai, Dawat par bhale taklif hoy, Imamuzzamn no haath aap na upar chhe.</li><li>Aap Surat ma vafat thaya chhe, qabr mubarak Qubba Izziyah ma chhe.</li><li>Aap ni qabr Surat ma Qubba Izziyah ma chhe.</li></ul><p><br></p>",9,3,True,,False,Urs Syedi Hebatullah Jamaluddin AQ,True
55,12,3,"Milaad Nabi Rasullulaah, Medina",Eid-e-Milad un Nabi SAW,,DAY,MILAD,,12,3,True,,True,Eid e Milad un Nabi SAW,True
56,12,3,"London, UK.",Urs Ummul Mumineen Amatullah Aaisaheba AQ,London,DAY,URS,"<ul><li>Ummul Mumineen,1, Ummul Mumineen, Ratan Aaisaheba, Aqeelate Dail Ajal Syedna Abdulqadar Najmuddin r.a. chhe.</li><li>Al Hayyul Muqaddas Syedna Mohammed Burhanuddin Aqa (RA)&nbsp;na saath aap ni shaadi 27 Zilqad 1354 H. [ 19 Feb.1936 ] Surat ma thai.</li><li>1397 H. ma aka Moula R.A ye aap ne Hadiyat na sharaf si navaza, ane "" Khalesato Naebe Ameeril Mumineen"" na khitab si musharraf kida.</li><li>Aap ye&nbsp;aka Moula R.A. na saath Haj, Umrah, Karbala Mualla, Misr, Shaam ane atbaate aliyah ni ziyarat nu&nbsp;sharaf hasil kidu.</li><li>Aap ne Ziyarat no ghano shauq, jahan jay vahan sonu ane zavahir taqreeban arz karta.</li><li>aka Moula R.A&nbsp;farmave chhe, [Hasanfeer-1429] ""Amatullah Aai Saheba ghana yaad aawe che, Aap ni tarbiyat --farzando ne sikhayu ke kem&nbsp;Dai ni Hazrat ma khara rahe, kem salaam thai, Aap ye Ramazan ma hafti likhi""</li><li>Deeni rasamo ne zinda karva ane ibadat ni mausam ma har meeqat par parhva vaste doa no zakhiro, aap ye collect kari chhapaya chhe, je 'Bu Saheba na sahifa' tarike olkhay chhe, te Sahifatus Salat, Doao -Syedna Moayyaed Shirazai r.a., Das Surat ni hafti, etc. aap na&nbsp;nayaab tohafa chhe.</li><li>Aap sadaqo ghanoj karta. Pakavvano bhi itnoj shauq,&nbsp;aka Moula R.A&nbsp;aap na haath ni recipes ghana shauq si&nbsp;tanavul karta.&nbsp;</li><li>Silai ane jwellaery no bhi itnoj sahauq. Koi bahen ye sonu na pehnu hoy to takor karta ke sun tijori ma mukva banayu chhe?&nbsp;&nbsp;Em kahiye ke aap ek "" institution of ideal motherhood' tha.</li><li>Daillah al amin ni ghani lambi muddat tak 'nemal qareen' bani nirali shaan si aap ye khidmat kidi, ane fida thaya.&nbsp;</li><li>'Qasre Aali' na farzando ni tarbiyat ma, Dawate Hadiyah ni khidmat ma, Mumineen, Mumenaat ni khairkhwahi ma, ane&nbsp;Ibadat ane tilavat ma raat din gujara.</li><li>12 Rabiul Ula 1415 H. Milade Nabi s.a. ni raate, aap London ma vafat thaya, ane vahanj madfoon chhe.</li></ul>",11,3,True,,False,Urus Ummul Mumineen Amatullah Aaisaheba (QR),
57,20,4,End of 40 DAYs of ta'abudaat.,Ayyam al-Ta'abudaat,,DAY,OTHER,,,,False,,False,,
58,14,3,,Urs Syedi Miyaji Mulla Taj Saheb AQ,Umreth,DAY,URS,"<ul><li>Aap 24ma Dai, Dail Ajal Syedna Yusuf Najmuddin r.a. na Hudud tha.</li><li>Char Doat [ 24-27 ma dai] ni khidmat kidi. Yemen jai ilm hasil kidu.</li><li>Aap na biradar Moulai Musanji bin Taj Shaheed Baroda ma Roza madfoon chhe,1, ane potani murad puri kare chhe., khas karine skin disease vaste logo mannat le chhe.</li></ul>",13,3,True,,False,Urs Syedi Miyaji Mulla Taj Saheb AQ,
59,16,3,52nd al-Dai al-Mutlaq,"Urs Mubarak, Syedna Mohammed Burhanuddin RA",Mumbai,DAY,URS,"<ul><li>Aap pehla dai chhe,1, jemne 5 haj ane 8 umrah naseeb thaya chhe.&nbsp;</li><li>Aap pehla dai chhe, jemne madina ma jannatul baqi ma moulatena fatema ni ziyarat naseeb thai.&nbsp;</li><li>Aap pehla dai chhe, jemne muta-jordan ma rasulullah s.a. na ashaabe vafadar moulana jafaruttaiyar a.s. ni ziyarat naseeb thai. moulana jafaruttaiyar a.s. ne rasulullah s.a. ye "" tasbihul aazam "" no hadiyo ataa kidelo.&nbsp;</li><li>Aap pehla dai chhe, je 33 varas tak mansoos rahya. Syedna Taher Saifuddin R.A moula ni aap moula ye raat din khidmat kidi. dawate arsh par aaya baad koi bayan ke waez nahi hoy jema aap moula R.A ye aap na bavaji saheb ne yaad na kida hoy.&nbsp;</li><li>Aap pehla dai chhe, jemne jamea anwar- qahera ma lailatul qadr ahya kidi. ane vahan waez bhi farmavi. [1401 h.]&nbsp;</li><li>Aap pehla dai chhe, jemne muqaddas moula syedna taher saifuddin r.a. ni yaad ma zikra ni majlis shuru kidi. har saal te majlis ma jamea na toloba ni imtehan thay chhe ane aap moula R.A bayan farmave chhe. zikra ni waez ek ehvo meeqat chhe, jema laakho mumineen har moze si zikra ni majlis ma shamil thay chhe.&nbsp;</li><li>Aap pehla dai chhe, je har saal asharah ni waez imamuz zaman na ilham si alag alag moze ma farmave chhe, ane laakho mumineen te ma shamil thay chhe. duniya na har ya selected moze ma te waez audio ke audio-video relay thay chhe, ya bayan audio cd na zariye vahan moklay chhe</li><li>Aap pehla dai chhe, je har waez, majlis ke bayan ma imam husain a.s. ni shahadat parhi mumineen ne matam karave chhe.&nbsp;</li><li>Aap pehla dai chhe, je na daur ma aap moula R.A. ye har shehrullah ma 30 mi raate 10 rakat no washeq shuru kido, ane te raat ahya karva vaste farmaayu. tej misal har sherullah ma mumineen no misaq levanu ane te mubarak mahina ma khatmul quran vaste farman shuru kidu.</li><li>Aap pehla dai chhe, je har asharah ma [8mi tarikh] ane shehrullah ma [19mi, moulana ali ni shahadat na din ] dunya ma jahan jahan mumin vasta hoy vahan har moze ma niyaz nu jaman kare chhe.&nbsp;</li><li>&nbsp;Aap pehla dai chhe, je na daur ma duniya ma mostly har moze ma masjid ni tameer thai chhe. america, england, France, Africa, gulf, singapore, australia, pakistan, hind, jahan jahan mumineen vase chhe, vahan aap moula ye masjid banavi chhe.&nbsp;</li><li>Aap pehla dai chhe, jemne shikar na waqt jungle ma bhi majlis kidi chhe.&nbsp;</li><li>Aap pehla dai chhe, jemne mansoos hata tivare muqaddas moula syedna taher saifuddin r.a. ni raza si yemen ni safar kidi hati. muqaddas moula syedna taher saifuddin r.a. aap na mansoos ne leva khud surat staion par padhara hata, ane majlis ma aap moula R.A. ne "" mansoorul yemen "" no khitab inayat kido hato. dawat na arsh par ayaa baad aap moula R.A ye yemen ni ganivar safaro kidi chhe, ane vahan na mumineen na umur vaste ghani tamhid kidi chhe.&nbsp;&nbsp;</li><li>Aap pehla dai chhe, jemne bija koi muslim badshah ke sarkar na kari saki tevu amal naseeb thayu. kufa ni masjid ane amirul mumineen, moulana Ali A.S. na mehrab [ jahan moulana Ali A.S. shaheed thaya hata ] vaste ghani mehnat ane khidmat si tarmeem ane taameer kidi. mumineen ne bhi tema shamil kida.&nbsp;&nbsp;</li><li>Aap pehla dai chhe, je magrib [north africa ] ni safare 1389 H. ma padhara chhe, ane imam mehdi a.s. ni masjid ma namaz parhavi chhe.tej misal aap ye north africa na libya na desert ma bhi namaz parahavi chhe.&nbsp;</li><li>Aap pehla dai chhe, je america ni safare padhara chhe.&nbsp;</li><li>Aap pehla dai chhe, je england padhara chhe. vahan busaheba ni vafat ane milad un-nabi ni raate sadaqllah ane khushi ni majlis bev aapye kidi hati.&nbsp;</li><li>Aap pehla dai chhe, je turkey padhara chhe, ane istanbul na museum ma rasulullah s.a., imam husain a.s., na ane bija ashab na relics ghana interest si dekha hhe.&nbsp;&nbsp;</li><li>Aap pehla dai chhe, je europe ni safar par, france, germany, sweden, norway, aksar padhara chhe. ane yahan aap ye tafreeh bhi ghani kidi chhe.&nbsp;</li><li>Aap pehla dai chhe, je na daur ma 700 masajid, 137 musafarkhana, 52 mazar, 26 hospitals, 50 libraries, 75 bachat yojnas, 21 maternity homes, 15 housing societies, 400 commuunity halls, 350 schools, 4 colleges, 3 boarding homes chhe.</li><li>Aap pehla dai chhe, je na daur ma mumineen na uplift vaste har moze ma ehtemam thai rahyo chhe. mumbai ma raudat tahera na aas paas ek mohti upliftment ni scheme SBUT jaare chhe.</li></ul>",15,3,True,,True,Urs Syedna Mohammed bin Taher RA,True
60,22,3,6th al-Dai al-Mutlaq,"Urs Mubarak, Syedna Ali bin Hanzala RA","Hamadan, Yemen",DAY,URS,1," magar jaga maaruf nathi.</li></ul><p><br></p>""",12,2,True,,False,,True
61,22,3,Morbi,Urs Maulai Dawood bin Qazi Ahmed Saheb,Ahmedabad,DAY,URS,"<ul><li>Aap na vaalid Moulai Raj ye aap ne Ahmedabad na daras ma dakhil kidela. Patan si pachhi aap Moulai Raj na saathe Morbi qayam thaya.</li><li>Har amar ma aap M. Raj na madadgar tha. Jafar ni fitnat na waqt aap ye ghani janfeshani kidi chhe. Moulai Raj a.q. na baad aap Morbi na Aamil thaya.</li><li>Aap Morbi ma wafat thaya. Aap ni umr 100 varas ni haii. Aap ni qabr aap na vaalid M. Raj a.q. na ek baju ma chhe, jivare biji taraf aap na maa saheba Zulekha Baisaheba ni qabr chhe.</li><li>Aap na farzand Moulai Adam a.q. [Jamnagar] Dail Ajal Syedna Ismail Badruddin r.a. na jad [grandfather] chhe.</li></ul><p><br></p>",22,3,True,,False,Urs Maulai Dawood bin Qazi Ahmed Saheb,
62,23,3,Morbi,Urs Maulai Raj Saheb bin Maulai Dawood AQ,Morbi,DAY,URS,"<p class=""ql-align-center""><br></p><ul><li>Almoula Moulai Raj bin Moulai Dawood a.q. aale Bharmal na nabira chhe.</li><li>Vali-e-Hind Moulai Hasan bin Moulai Adam a.q. na farman si aap&nbsp;Patan [ Gujarat] na Aamil thaya.</li><li>835 H. si 950 H. no daur ghano mushkil gujro. Laeen Jafar ni fitnat shuru thai chuki hati. Mumineen na gharbaar ane maal milkat lutaya, kitna Mumineen&nbsp;shaheed thaya,1, tena sabab, aaj milti nathi.</li><li>Fitnat na aa mahaul ma, Moulai Raj Saheb ne aap nu watan Patan chhorvu paru. Dawat na kitabo, bane etla bachavi, potani jagir ane makan chhori, aap Morbi padhara. Vahan aap na vaalid Moulai Dawood bin Moulai Ali a.q. nu makan hatu, vahan qayam farmayo. Masjid ane kuvo banaya.</li><li>Aap Morbi na pehla Aamil qayam thaya. Shariyat na aap ghana paband, koi waqt aap ni namaz fot thai nathi.</li><li>Aap ni ek mashhoor rivayat parhiye:&nbsp;</li><li>Aap kapra vanvanu [weaving cloth] kaam karta hata. Ek din thora kaam khatir taakheer [late] thai gai. Vuzu vaste aap ye kuva ma pani nikalva dol [ bucket] nakhi. Dol ma pani na badal&nbsp;Javahar aaya. Ghari ghari aam thayu. Aap ye istigfar kido, paani talab kidu, ane waqt par namaz adaa kidi. Aaj bhi voh kuvo Morbi ni Masjid ma chhe.</li><li>Khuda Taa'la ye aap ne Javahar-Faani na badal Javahar-Qudsiyah bakhsha. Aap ni nasal ma nav [9] Doat, Mazooneen, Mukasereen, ane Hudud Fozola thaya.</li><li>Aap ni Qabr Morbi ma chhe. Qubbat 2003 ma Earthquake ma damage thayela,&nbsp;Al Hayyul Muqaddas Syedna Mohammed Burhanuddin Aqa (RA). ni raza mubarak si te fari tameer thaya chhe.</li></ul>",22,3,True,,False,Urs Maulai Raj Saheb bin Maulai Dawood AQ,
63,23,3,,Urs Syedi Qazi Khan bin Ameen Shah AQ,Halvad,DAY,URS,<p>N/A</p>,22,4,True,,False,Urs Syedi Qazi Khan bin Ameen Shah AQ,
64,25,3,30th al-Dai al-Mutlaq,"Urs Mubarak, Syedna Ali Shamsuddin bin Maulai Hasan RA","Hisne Afeda, Yemen",DAY,URS,1,&nbsp;Aal-e-Valid na 18ma ane aakhari Dai chhe. Rasulullah s.a.ni Doa mubarak na aakhari samar [ fruit] chhe, ane biji taraf aap Syedi Hasan bin Nooh Bharuchi a.q. ni nasal ma si chhe.</li><li>Syedi Hasan bin Nooh a.q. ye Ilm ane maal, beve si Doat ni khidmat ma ghani janfesaani kidi chhe, je na sabab Khuda Ta'ala ye aap ni nasal ma Syedna Ali r.a. ni misal Dai bakhsha chhe.</li><li>Hind ma Dawat naqal thaya baad 29ma Dai, Dail Ajal Syedna Abdul Taiyeb r.a. ye Yemen ma aap ni taraf&nbsp;Nas mokli chhe. Te waqt aap Taybah ma tashreef rakhta hata. Ghani kam muddat aap Dawat na arsh par mustavi rahya. Aap ye dobara Hind ni taraf Syedna Qasimkhan Zainuddin r.a. par nas mokli chhe.</li><li>Aap ni qabr mubarak Hisne Afeda ma ek alag Qubbat ma hati," je aaj maaruf nathi. Aap ni umar 69 varas ni hati.</li></ul><p><br></p>""",24,2,True,,False,,True
65,28,3,,Urs Mohammed bin Hasan Saheb,Dhinoj,DAY,URS,<p>N/A</p>,27,4,True,,False,Urs Mohammed bin Hasan Saheb,
66,4,4,21st Imam.,Milad Imam uz Zaman SA,,DAY,MILAD,,3,5,True,,True,Milad Imam uz Zaman SA,True
67,5,4,,Urs Miyasaheb Motabhai bin Mulla Noor bhai,Balasinor,DAY,URS,<p>N/A</p>,4,5,True,,False,Urs Miyasaheb Motabhai bin Mulla Noor bhai,
68,5,4,,Urs Miyasaheb Taiyebji bin Syedi Shaikh Shamas Khan,Balasinor,DAY,URS,<p>N/A</p>,4,5,True,,False,Urs Miyasaheb Taiyebji bin Syedi Shaikh Shamas Khan,
